"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/PatrickvanDissel_Buildingthe21stcenturyCItooltogether/","Patrick van Dissel","the 21st century CI tool together","Abstract:

   I'm currently in progress of building a Minimal Viable CI product (MVP), which is completely open-source (https://github.com/pvdissel/cy.io/). It's name is still temporary. The idea is to have the MVP demoable during the open-space. But even if it's not demoable, my focus of this open-space is gathering input on experiences and ideas from the attendees from different kind of backgrounds. Topics I want to discuss are for example:
 - pain-points people face with current CI tools
 - CI tool must-haves
 - How should a CI tool work within the network/cloud? eg. preferences on distributed architectures, used protocols, firewall issues, security related requirements

Speaker:

Patrick van Dissel, Software Engineer working at Tricode in The Netherlands. I've been setting-up, maintaining and improving the continuous integration/delivery pipeline from the technical side for the last 2 years now. During this time I've been looking at all kinds of aspects to get better code and get it to production faster.

It boils down to:
I came to the conclusion that I'm not happy with the existing so called 'Continuous Integration' tools like Hudson/Jenkins, Go, TeamCity, AntHill, TravisCI, etc. They get the job done, but they don't follow the principles of this age, like:
- Configuration-as-Code
- Infrastructure-as-Code
- Keep It Simple Stupid
- Don't Repeat Yourself
- Single Responsibility Principle
I've investigated if I could help improve the existing tools to up-to-date. But at a code level it just looked not doable.

So, in my free time, I started my own CI tool project. You can read the specifics at:
   https://github.com/pvdissel/cy.io/wiki/Why-a-new-CI-tool
   (and the other wiki pages and stories in the issue tracker)
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/WesMason_TwoPointOhMyReleaseengineeringforeveryone/","Wes Mason","Two Point Oh My! Release engineering for everyone","Abstract:

With continuous integration, continuous deployment and packaging systems that just install all the latest shiny for us, we don't need to worry about releases any more..do we?

Release engineering is an important aspect of any projects development and deployment cycle. From testing to building, packaging and releasing,  a version number is not just an arbitrary string and relying on one person to understand how your product makes it to customers is a recipe for disaster.

Walk this way and we'll explore methodologies and tooling for managing releases and solutions to common problems such as:


Documenting builds and release processes for both devs and ops.
Understanding when to automate..and when not.
Dependency tracking and avoiding stale dependencies or security issues without breaking builds.



Speaker:

Wes Mason
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/SamEaton_TrustInDevops/","Sam Eaton","Trust in DevOps","Abstract:

Trust is essential in a successful DevOps environment. But it&rsquo;s generally something established directly between individuals over time, and thus is hard to scale to larger teams and organisations.

We commonly think about DevOps practices such as automation, testing, metrics and continuous integration/delivery in terms of their technical benefits. However, the practices, tools and culture of DevOps are often, at their core, about how to scale trust past individuals by extending visibility to other teams, as well as the wider business.

This talk will provide some recipes for building trust in DevOps, by examining how trust (and lack of it) affects DevOps teams, and how concentrating on this can help you sell DevOps in your organisation.

Speaker:

Sam Eaton (@thesamoth) has been involved in web operations and DevOps teams for the last 17 years, in companies ranging from small startup ISPs through major media companies. He currently works at Yelp. Rumour has it that he invented #failcake (https://github.com/failcake/recipes)
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/UriCohen_TestingasaServiceHowweusedOpenStacktoautomateourentiredevandtestingenvironment/","Uri Cohen","Testing as a Service - How we usiied OpenStack to automate our entire dev and testing environment.","Abstract:

Building and testing distributed software platforms can be a tedious and daunting task. Achieving good coverage can be very hard since a lot of factors affect the overall testability and coverage of a system.  Some problems only become apparent on a distributed setup, such as timing and network issues, etc. In this session we&rsquo;ll explain how we used OpenStack and Cloudify to implement and automate real integration testing (as in, no mocks) for our entire product suite, and how we significantly improved our overall coverage and reliability.

Speaker:

Uri Cohen

Uri heads the Product and Developer community efforts at GigaSpaces, and is a frequent speaker at various industry events and meetups. Most recently, Uri co-organized the first DevOps conference in Israel. Uri has spoken at QCon New York, Cassandra Summit, CloudStack Collaboration Conference, QCon London, QCon San Francisco, CloudBeat and Devoxx, among others.
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/MielDonkers_Successfultestingthecontinuousdeliveryprocess/","Miel Donkers","Successful testing the continuous delivery process","Abstract:

Many organisations want to shorten their time-to-market. By
implementing agile they try to shorten the delivery time. Agile
projects use practices like continuous integration, automated
deployment, (acceptance) test-driven development and regression
test automation to get to continuous delivery. In this process build,
integration, test, and deployment automation plays an important role.

The delivery of software has to become fast and reliable. But what
does it take to get to continuous delivery? What are the testing
challenges we face in a continuous delivery? Which test strategies can
we apply be able to test continuous delivery?

This talk zooms in on fully automated testing and a high degree
of automation in the business facing testing to get to continuous
delivery. It focusses on solutions (tooling) within a continuous
delivery model from a testing perspective. It gives the participants
insights in the use of requirements management tooling, test
solutions built with tooling like Selenium and Fitnesse, JMeter,
Appdynamics and other tooling. How can deployment processes
be implemented with the use of the right (often lightweight)
tooling? Which test strategy fits in this process and how to organize
collaboration between developers, testers and operations?

Finally this talk gives practical examples of projects were these
solutions were used.

Speaker:

Miel Donkers (Agile Solution Developer) + colleague (tester)
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/JeffSutherland_PoweringUpYourDevopsScrumTeam/","Jeff Sutherland","Powering Up Your Devops Scrum Team","Abstract:

Recently an overloaded 25 person Devops team supporting a large bank in the Netherlands found they could achieve a better level of support with less than 14 people using Scrum. Achieving this level of performance consistently requires more than just implementing Scrum by the book. Over the past four years, the Scrum Patterns community has created a small pattern language that can enable every Scrum team to achieve extraordinary results. This talk will discuss patterns of implementation that should be adopted by every Devops Scrum.

Speaker:

Jeff created the first Scrum team in 1993 and worked with Ken Schwaber to formalize Scrum at OOPSLA'95. Together, they extended and enhanced Scrum at many software companies, helped write the Agile Manifesto in 2001, and authored the Scrum Guide.
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/DavidMytton_OnHumansandDevOps/","David Mytton","On Humans and DevOps","Abstract:

Given the sysadmin stereotype, it's sometimes easy to forget that not everyone is up at 3am and ready to respond to alerts on a Friday night. In all but the most critical high availability environments, most teams will not have someone actively monitoring graphs 24/7. This means you have to deal with on-call schedules, technical handoffs, documentation, procedure manuals and trying to ensure mistakes aren't made, even in the middle of the night.

This talk will look at how to approach the social aspects of running an ops team in terms of the human impact as well as using automation and tools.

Speaker:

David Mytton is the founder of server monitoring tool, Server Density, where he has been using MongoDB in production for almost 4 years. He has been programming in PHP and Python for over 10 years, regularly speaks about MongoDB (including starting the London MongoDB User Group), co-founded the Open Rights Group and can often be found cycling in London or drinking tea in Japan.

David Mytton
http://www.serverdensity.com
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/PavloBaron_NoCountryForOldMen/","Pavlo Baron","No country for old men","Abstract:

Abstract: In this talk, I will tell some true war stories and anecdotes from bringing DevOps into companies that have never heard of it or probably would never touch it. I will explain the tricks that can be used to try to bring them there. I will also explain the motivation behind their resistance and how to come around it.

Objectives: entertain the audience, deliver concrete ideas on how to push DevOps in the own companies

Speaker:

Pavlo Baron

During the past 23 years, Pavlo Baron has gained knowledge of and put in to practice a wide variety of technologies and approaches. He works for codecentric, a german consulting company, as their lead architect. His passion is hacking and playing with distributed systems and large data sets. Pavlo is frequent conference speaker and has written four German books: 'Erlang/OTP', 'Pragmatic IT Architecture', 'Fragile Agile' and 'Big Data for IT decision makers'.
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/MichaHernandezvanLeuffen_MovingBeyondRedAndGreen/","Micha Hernandez van Leuffen","Moving beyond red and green; collaboration as the next big challenge in Agile","Abstract:

After years of talking about agile as a methodology we are now seeing the fruits of our labor throughout our places of work. We have automated our systems and by tying them together we are now able to develop and deliver software at a frequent and sustainable pace. Tester have mastered the skills to automate their work. Continuous integration servers are doing their best to decide whether the software is 'red' or 'green' and operations is no longer a place where we dump our support tickets.

Still software is not continuously flowing to production. The problems even tend to get bigger when software is dependent on other software. In this presentation I want to share our vision that one of the big reasons for this lack of flow lies within collaboration, and that the next big challenge in agile, deals with culture and how we cooperate in these automated environments that we have now created.

Speaker:

Micha Hernandez van Leuffen
Cofounder &amp; CEO - wercker
http://beta.wercker.com
",""
"","talk","http://devopsdays.org/events/2013-amsterdam/proposals/JasperSonnevelt_KanbanDealingwiththeelephantintheroomonechunkatatime/","Jasper Sonnevelt","Kanban. Dealing with the elephant in the room, one chunk at a time.","Abstract:

Large and mostly early Scrum implementations in a very revolutionary big bang fashion have taught us that not every organization is fit for a fast change in way of working. We talk about culture, tooling, we hear Agile but which methodology are we going to use? Scrum, Lean, Agile, KanBan? KanBan seams the natural fit for DevOps.

Small incremental changes that help you to get closer to your objective are a very effective way to lower resistance when transitioning to DevOps. With business and Ops usually furthest away from each other and business asking to 'just fix the problem' there can be a big gap. Bridging this gap is a long process where past solutions usually don't work. Context is king.

In this talk I wil share how Kanban can be used as a catalyst for change in culture and behaviour in the whole organization involved in the transition to DevOps and how it can help focus on fixing the problems that need fixing most to achieve your goal.

Speaker:

Jasper Sonnevelt
",""
