"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-austin/proposals/from/","Jesse Gonzalez","from #monitoringsucks to #monitoringsucksless","Abstract:
We all know #monitoringsucks, but we tend to live with it.

There are numerous tools out there there monitor environments, but none do it all. And they shouldn't!

I'll discuss a solution that we utilize using best of breed open source products that can alleviate what we all experience, #monitroingsucks. Following the UNIX paradigm of doing one thing and doing it well, I'll discuss a solution that utilizes tools that we all take for granted or don't use to their full capacity.

Speaker:

Jesse Gonzalez

Bio:
I'm a Senior Systems Engineer with over 5 years of focus on monitoring. I've experienced working with solutions that were overly complex or inefficient at their designed purpose, some better than others, but most trying to do too much.
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Working with Dedicated Teams Offshore/","Niall McSheffrey","Working with Dedicated Teams Offshore","Abstract:
Working with Dedicated Teams Offshore
At some point every company chooses to outsource work either through a state side contractor or offshore. I think it is extremely helpful to not just articulate but advise the best approaches to choosing, working with and having success with an offshore partner. It can be done and there are many hybrid approaches that ensure delight for both sides.

My outline/flow would be the following


Outsourced the TV show&hellip;.so what is the reality?
The dream that can turn into a nightmare


Improper vetting of developers
Looking at cost as the driver instead of quality
Undefined specs
The communication gap
Project management black hole
Project based, agile or really agile


Cultural differences between US based developers and the rest of the world
When to subcontract outside the country
A rising tide raises all ships
How to do it right
Dedicated teams and mixed teams
Your next offshore project  - done the right way&hellip;



Speaker:

Niall McSheffrey

Bio:
Niall McSheffrey &ndash; based in Phoenix AZ and frequent traveler to Austin. I am President and Owner of a 35 person software development company based in Philippines, Elementz Interactive. I incorporated over there 3 years ago and have grown it from 1 employee to 35 during this time. I found that there are many challenges in not just running an offshore software development company but also in overcoming past experiences that many of my clients had from previous projects offshore.
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Why does monitoring suck/","Peco Karayanev","Why does monitoring suck? Because it is rooted in detecting failure, and not preventing it","Abstract:
There is a buzz around #monitoringsucks in the DevOps community. But it ain't the tools, rather it is what you do with them! Monitoring is founded on the concept of detecting failure, and the practice is institutionalized across organizations of any size. I will explore common evils that stem from this core focus on failure and discuss the anti-patterns that ensue across operations. On the other hand, I will discuss other industries that have dealt with this problem successfully and with a consistent record of dramatically reducing failure rates. I will propose a new approach, 'tracking' that goes beyond monitoring, discuss its merits and what it will take to implement. The main idea is 'tracking close calls' and systematically improving apps and systems rather than monitoring for failures. 'Close calls' are the canaries in the coal mine, and they lead up to bigger failures but nobody pays attention to these. If we take a long tail analogy 'failures' are the head while 'close calls' are the tail of application issues.

Speaker:

Peco Karayanev
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Who is the Enemy - Us or Motionlessness/","Dominica DeGrandis","Who is the Enemy - Us or Motionlessness?","Abstract:
Problems between teams begin when they are unaware of mutually critical information and unable to consider the perspectives and needs of other groups.

Bringing visibility to invisible work and considering the flow of work over efficiency of of work may help teams gain the perspective necessary to influence culture change.

We pretty much ignore invisible work. And that causes all kinds of problems &ndash; from unknown dependencies to excessive context switching to dark matter &ndash; it all costs money.

But it&rsquo;s also a problem when we focus on the most visible form of waste &ndash; inefficient activity. Horrors if a worker appear idle! Is making activities more efficient really less important than eliminating inactivity? Is the problem inactive workers or motionless work?

This talk aims to answer those questions and address the following topics:
&middot; The invisible cost of idle work and what can be done about it.
&middot; Why 100% capacity utilization doesn&rsquo;t work.
&middot; Why Queues matter.
&middot; Effects of WIP constraints.

Speaker:

Dominica DeGrandis
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/When You Can't Hire the A-Team - How to Bring DevOps to the Masses/","Jonathan Thorpe","When You Can't Hire the A-Team - How to Bring DevOps to the Masses","Abstract:
People at the cutting edge of DevOps are putting automation to great use  and delivering faster value to customers. The solutions are impressive, and the results can be spectacular, but there is a problem -- companies require the equivalent of the A-Team working for them in order to hook all the bits and pieces together to create an end-to-end automated solution.

Join this session, presented by Jonathan Thorpe, DevOps Evangelist at Serena Software, to find out how open source and commercial software can be used together to provide DevOps automation for the masses in a maintainable, scalable way that does not require the equivalent of the A-Team to create and run.

Speaker:

Jonathan Thorpe
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Weapons for Operational Kung-Fu: Wielding (and Welding) Ironfan/","Nathaniel Eliot, Brandon Bell","Weapons for Operational Kung-Fu: Wielding (and Welding) Ironfan","Abstract:
Infochimps works in the deep end of DevOps: all of our ops code, and
all of our devs deploy. Nathaniel Eliot and Brandon Bell will walk you
through how the Ironfan cloud orchestration suite makes that possible.
You'll learn the basics of using Ironfan, and see powerful techniques
to attack your operational problems with. We'll close with some of the
advanced techniques we're still perfecting, and some of the basics of
customizing Ironfan to your needs.

Speaker:

Nathaniel Eliot, Brandon Bell
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/The Importance of Software Packaging For Release Management/","Chris Maier","The Importance of Software Packaging For Release Management","Abstract:
As an operations person with over 15 years of experience working on, maintaining, and supporting large enterprises, SaaS services, and cloud computing, I want to present the operations side of what I perceive to be differing opinions on software packaging, why all software should be packaged in an OS native format, and software patching as part of the release management life-cycle.

Many release management processes fail to fully comprehend the value of building and using native OS packages - like RPM, DEB, MSI, etc.  I would like to present the thought process from the operations perspective on why using anything but an OS package to install software is 'problematic' for successfully releasing and maintaining stable server environments.

Discussion points will be focused on RPM's for the sake of time - but presented conceptually so the methods can be applied to other OS package management systems.

Perspectives, opinions, and answers to the following items will be included:

Why do those pesky operations people always want development to deliver software as 'RPM's' or 'DEB's' ?

How do you ensure all nodes are running exactly the same base software and components without specifying each and every file in your configuration management tool like puppet or chef?

How do you easily patch your systems as part of your release cycle?

Why should a compiler not be installed on a production system?

Why should production systems not use developer short cuts like pip and gem installations ?

Do you really want a war file in an RPM?  What value could that possibly add to the operational stability and release management cycle?

How do you ensure you can build a new node identical to one built 6 months or a year ago when scaling is needed?

How do you quickly and easily roll back a bad release?

What tools, methods, and strategies do you suggest if we are going to buy in to this and use native OS packaging for all software?

Speaker:

Chris Maier
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/The Challenges of Maintaining High Performance of a Production Cloud Infrastructure/","CopperEgg","The Challenges of Maintaining High Performance of a Production Cloud Infrastructure ","Panel Discussion

Abstract:
Explore the challenges of the day to day monitoring of a production cloud infrastructure and the processes and tools that have been put in place to better manage cloud performance.

Hear from a panel of local devops and administrators (Dachis Group, FeedMagnet, Mass Relevance, Sparefoot)  who need to keep their respective SaaS applications at the highest availability level for their customers and their companies.

This panel will discuss different aspects of cloud computing, management, and monitoring including: Dynamic auto-scale environments, Amazon EC2, Rackspace Cloud, OpsCode Chef, centralized server monitoring solutions, automation, orchestration, configuration management, and alert based monitoring.

Gain insight on the challenges and reasons for monitoring servers, services application infrastructure, and applications.

Cloud performance is an interesting topic because it affects application products not only at the base performance level, but at all levels including development, customer experience, and ultimately revenue. Applications need to be up and running smoothly, consistently and reliably in order to generate revenue and company wide growth.

Panel Moderators:

CopperEgg
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Systems theory for successful enjoyment of AWS/","Philip Jacob","Systems theory for successful enjoyment of AWS","Abstract:
In the past 8 months, Stackdriver has gone from, well, not existing to dozens of beta customers.  We receive thousands of measurements per second from our customers and perform time series aggregations in real time.  The infrastructure for our hot data pipeline resides on AWS and is designed for scale, availability, consistency and performance using principles that originate in a book written in 1978.

Wait, what?  1978?

In this talk, we will discuss how the design choices we made for our stateless cell architecture were influenced by a book called Systemantics, first published 35 years ago.   We&rsquo;ll also demonstrate our cell architecture, which is a concept that you could reuse in your company.

For example, one of the quotes adorning the walls of our office is &ldquo;What could possibly go wrong?&rdquo;  This kind of defensive thinking permeates our consideration of software architecture, system architecture and cloud architecture.  Not only do we presume that things can go wrong, we usually presume that something is always going wrong, or at least partially wrong.

Our hot data pipeline is one of our key assets and was developed by pressure testing our design considerations with Systemantics quotes like:

Systems in general work poorly or not at all.
Complicated systems produce unexpected outcomes
The real world is what it is reported to the system
A complex system that works is invariably found to have evolved from a simple system that works.
The Fail-Safe Theorem: When a Fail-Safe system fails, it fails by failing to fail safe.

Join us for a systems view of life in AWS.

Speaker:

Philip Jacob
",""
"","talk","http://devopsdays.org/events/2013-austin/proposals/Strategies for introducing agile software development practices in operations/","Ranjib Dey","Strategies for introducing agile software development practices in operations","Abstract:
As we slowly move towards Infrastructure as Code paradigm, standard software development issues like maintainability and interdependency slowly creeps into operations/infrastructure code base. Though this is not a solved problem, mainstream software development practitioners have made significant progress on these. This talk will briefly focus on practices and reasoning behind those practices that can be used to to increase the agility in operation teams, so that they can respond to change faster without compromising the stability. The entire presentation will be subdivided in three sections detailing the strategies for enabling software development practices in operations.


Introducing change that perturb the system least and building  on top it. Enabling iterative development.
Source control, unit testing and CI. Evolving a better design through agile best practices, upfront assumptions.
Addressing technical debts, as key to move out of tactical issues and focus on strategic issues



Speaker:

Ranjib Dey
",""
