"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Why should I know ITIL/","Raj Dudi","Why should I know about ITIL ??","Abstract:

You are a die hard coder and loves playing with functions and
experimenting with new technology. You have a great application,
software or service but fails to deliver it to your clients, partners
or to best utilize service of your vendor. Then the problem lies in
process and not product.

This is same as someone speaking Urdu in USA and trying to sell bread
in Apple electronic store.  ITIL provides the foundation for quality
IT Service Management through documented, proven processes that cover
the entire Service Lifecycle. It is easy for organizations to learn,
tailor and implement to suit their environment.

Speaker:

Raj Dudi, works as Software Engineer with ERST Gmbh Hamburg. He has 6
years of expereince and spent most of his experience working with the
ITIL process.

Before moving to Germany in Oct 2011, he has worked in
India and in US. He has an ITILv3 certification.
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Whats really to blame - A day in the life of a PHP app/","Jan Burkl","What's really to blame? - A day in the life of your PHP app","Abstract:

You know how to play the Blame Game when Production is broken?
Probably you have good reasons for that. Nevertheless, it's better to
work out what really went wrong - fast. See in this session how a new
PHP application can be deployed flawlessly, scaling up and down and
can be managed automatically. Discover how Dev &amp; Ops can work
together, in concert, if the worst nightmare happens and the
application breaks.

Speaker:

Jan Burkl
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Two Point Oh My - Release engineering for everyone/","Wes Mason","Two Point Oh My! Release engineering for everyone.","Abstract:

With continuous integration, continuous deployment and packaging
systems that just install all the latest shiny for us, we don't need
to worry about releases any more..do we?

Release engineering is an important aspect of any projects development
t and deployment cycle. From testing to building, packaging and
releasing, a version number is not just an arbitrary string and
relying on one person to understand how your product makes it to
customers is a recipe for disaster.

Walk to this way and we'll explore methodologies and tooling for
managing releases and solutions to common problems such as:


Dependency tracking and avoiding stale dependencies without breaking builds.
Documenting builds and release processes for both devs and ops.
Understanding when to automate..and when not.



Speaker:

Wes Mason
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Testing as a Service - How we used OpenStack to automate our entire dev and testing environment/","Uri Cohen","Testing as a Service - How we used OpenStack to automate our entire dev and testing environment","Abstract:

Building and testing distributed software platforms can be a tedious
and daunting task. Achieving good coverage can be very hard since a
lot of factors affect the overall testability and coverage of a
system.  Some problems only become apparent on a distributed setup,
such as timing and network issues, etc. In this session we&rsquo;ll explain
how we used OpenStack and Cloudify to implement and automate real
integration testing (as in, no mocks) for our entire product suite,
and how we significantly improved our overall coverage and
reliability.

Speaker:

Uri heads the Product and Developer community efforts at GigaSpaces,
and is a frequent speaker at various industry events and meetups. Most
recently, Uri co-organized the first DevOps conference in Israel. Uri
has spoken at QCon New York, Cassandra Summit, CloudStack
Collaboration Conference, QCon London, QCon San Francisco, CloudBeat
and Devoxx, among others.
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/StartupOps/","David Mytton","StartOps: Growing an ops team from 1 founder","Abstract:

Bootstrapped startups don't have the luxury of a full team of ops engineers available to respond to issues 24/7, so how can you survive on your own? This talk will tell the story of how to run your infrastructure as a single founder through to growing that into a team of on call engineers. It will include some interesting war stories as well as tips and suggestions for how to run ops at a startup.

Speaker:

David Mytton is the founder of server monitoring tool, Server Density, where he has been using MongoDB in production for almost 4 years. He has been programming in PHP and Python for over 10 years, regularly speaks about MongoDB (including starting the London MongoDB User Group), co-founded the Open Rights Group and can often be found cycling in London or drinking tea in Japan.
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Shipping DevOps/","Daniel Spilker","Shipping DevOps","Abstract:

Driven by the need to move quickly CoreMedia's customers are demanding
deployment automation and continuous delivery. Consequently, as a
vendor of an enterprise content management system, CoreMedia is
incorporating support for deployment tools and processes directly into
its product.

The presentation covers the challenges that CoreMedia has been facing
and the solutions the engineers have applied when advancing the
product to integrate with automation tools and processes. The
challenges included that the development teams had only limited
operations experience and could only acquire knowledge from CoreMedia
professional services and customers in slow feedback cycles. The
product is deployed on various platforms, each requiring their
toolchains, thus generating complex requirements.

To overcome the obstacles, a dedicated development team has been
ramped-up to concentrate on deployment automation and continuous
delivery. They created automated setups for CoreMedia QA and CI
systems to gain operations experience and establish a fast in-house
feedback cycle.

Speaker:

Daniel Spilker
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Podularity FTW/","Tim Lossen","Podularity FTW!","Abstract:

In 'The Connected Company' (O'Reilly, 2012), Dave Gray describes how
pods -- 'small, autonomous units' -- are the basic building blocks of
a flexible, scalable and resilient organisation. At Wooga, we have
used pods (though we call them 'game teams') as the main
organizational unit from the beginning, and this has led quite
naturally to a strong devops culture.

In this talk, I will tell how this decision came about, how it has
played out, which practical benefits the approach provides -- but
also, what problems we have run into. As a bonus, I will report on a
recent attempt to use podularity as the technical system architecture,
where scalability and resilience are major concerns as well.

Speaker:

Tim Lossen
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Our DevOps Story - Chef and Rails for customer cloud control/","Steven De Coeyer and Joren De Groof","Our DevOps story: Chef + Rails for customer cloud control","Abstract:

In our hosting company, we use Chef to manage all user- and web app
configuration on our shared and private hosting environments. We've
put this power in the hands of our end users through Sock, our control
panel. What first started out as an automation tool for managing new
servers, is now our core server configuration tool for us as well as
our customers and their customers. Where a DirectAdmin, cPanel or
Plesk failed in giving us an overhead management is where our Sock +
Chef solution picked up. With Ruby Developers and Sysadmins literally
at the same table, we were able to concurrently build the two sides of
this story.

Our talk will show how we use Chef to continuously manage not only the
servers but everything on it (accounts, webapps, ssh keys, Solr,
Varnish, databases, ...). We want to show how we use Chef in a dynamic
way to shuffle and manage user- and web app configurations across a
large pool of shared and dedicated servers.

Speaker:

Steven (Ops) and Joren (Dev) work at Openminds, a Belgian B2B hosting
company offering custom cloud solutions.  We will both be giving this
presentation because we cover both the Dev and Ops in our talk.
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Ops Around The World/","David Mytton","Ops Around the World","Abstract:

In the old days, data centre selection was based on proximity to a data centre and when things went wrong part of the recovery time calculations included how long it would take to drive there. Now you can deploy servers in almost every continent in a few minutes.

This talk will examine the challenges of geographically diverse deployments. From technical concerns like latency, deployment lead times and systems management to social issues like on-call rotations, follow the Sun provisioning and trusting your data centre techs.

Speaker:

David Mytton is the founder of server monitoring tool, Server Density, where he has been using MongoDB in production for almost 4 years. He has been programming in PHP and Python for over 10 years, regularly speaks about MongoDB (including starting the London MongoDB User Group), co-founded the Open Rights Group and can often be found cycling in London or drinking tea in Japan.
",""
"","talk","http://devopsdays.org/events/2013-berlin/proposals/Node.js meets Jenkins, Gradle and Chef/","Evgeny Goldin","Node.js meets Jenkins, Gradle and Chef!","Abstract:

Have you ever had to automate a Node.js application deployment? One
way of doing so would be to use Node.js hosting providers, but what if
you decide to host your applications in-house? As it turns out,
automating a Node.js operation is not as easy as it sounds (you can
trust me on that) and here at Trademob, we tried several approaches
before settling on a combination of tools. This presentation is
targeted at Node.js developers and Dev Ops engineers. I'm going to
show what we tried, what worked and what did not work. I'll then
present a setup based on Jenkins, Gradle and Chef that we now
successfully use for testing, deployment and monitoring of Node.js
applications. You'll learn from our mistakes and see how we made it
all work in the end. Most importantly, you'll be able to do the same
as us - since all tools and plugins required are free and
open-sourced.

Come to this session and make your Node.js automation a breeze!

Speaker:

Evgeny Goldin
",""
