"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-downunder/proposals/Your Agile Performance Testing Checklist MultiMechanize Bees with Machine Guns PageSpeed and AppDynamics/","Dustin Whittle","Your Agile Performance Testing Checklist: MultiMechanize, Bees with Machine Guns, PageSpeed and AppDynamics","Abstract:

The performance of your application affects your business more than you might think. Top engineering organizations think of performance not as a nice-to-have, but as a crucial feature of their product. Those organizations understand that performance has a direct impact on user experience and, ultimately, their bottom line. Unfortunately, most engineering teams do not regularly test the performance and scalability of their infrastructure. Join this session to find out about the latest performance testing tools and why your team should add performance testing to your agile development process. We will dive in to how to evaluate performance and scalability with MultiMechanize, Bees with Machine Guns, and Google PageSpeed. In addition, we&rsquo;ll look at how to track the impact of every release with AppDynamics. You will leave this session with an understanding of how to automate performance testing and evaluate the impact it has on performance and your business.

Agenda:


Why performance matters?
What was the performance impact the last release?
What about the impact of that configuration change or package upgrade?
Case studies on business impact of performance at Google/AOL/Shopzilla
Tools of the trade
MultiMechanize
Bees with Machine Guns
Google PageSpeed
AppDynamics
Best practices
Server Side
Client Side
Integrating into your process
develop -&gt; test -&gt; deploy -&gt; rinse &amp; repeat



Speaker:
Dustin Whittle
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/Using AWS to enable development teams/","Luke Chadwick","Using AWS to enable development teams","Abstract:

At REA we have been on a long journey to enable our development teams. From one development and one test environment shared between all the teams, an environment that was hand rolled and frequently broken, to hundreds of automatically provisioned EC2 instances.

From Continuous Delivery to spinning up arbitrary environments for development and testing purposes, being able to automatically provision an entire (production like) stack has changed the way we work. Using AWS has enabled teams to be more agile and efficient.

Lessons have been learned, both at an technical level, but also team and organizational dynamics. I would like to share the challenges that we have faced, and the tools we have developed to aid in our management of our development cloud.

Speaker:
Luke Chadwick
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/There_is_no_talent_shortage/","Andrew Clay Shafer","There is no talent shortage","Abstract:

Many organizations believe they are in a struggle to recruit and retain technical talent.
While most recognize the time new hires require to become productive, very few organizations have a training component built into their onboarding, and even less emphasize learning as part of the ongoing process.
The evidence suggests learning cultures have significant advantages, not only in productivity and quality, but also in attracting and retaining the best people, yet many seem reluctant to invest.  Or maybe they just don't know how?
This talk will present a combination of research on learning and culture together with personal anecdotes from my career as a developer, manager, founder, tutor and consultant about the impact of learning on people and organizations.
The goal is to outline a framework for self assessment of organizational learning and actionable recommendations to address deficiencies.

Speaker:

As a co-founder at Puppet Labs with a background in Agile development, Andrew Clay Shafer devops'd before devops had a name.
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/The devops journey that transformed REA/","Javier Turegano","The devops journey that transformed REA","Abstract:

REA group, which runs between others realestate.com.au, realcommercial.com.au, casa.it and athome.lu websites, has been involved in an interesting transformation process following the Devops principles in the last years that has changed completely the way we do operations.

From completed isolated worlds, delivery and operations, to a much more efficient approach which continues to evolve every day in this talk we will cover some of the key elements for this transformation including cultural and technical aspects that helped us during the journey and which ones make it hard.

Speaker:
Javier Turegano
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/The devops field guide to cognitive biases/","Lindsay Holmwood","The devops field guide to cognitive biases","Abstract:

As devops practitioners we focus on improving the culture of
collaboration so that others play nicely with us &amp; we play nicely with
others - but what if the biggest thing holding us back from change is
our own brains?

Cognitive biases can deeply affect our behaviours towards others by
herding us towards mental shortcuts that are optimised for timeliness
over accuracy, at the expense of rationalising irrational behaviour.

You are probably pushing these biases onto other people every day but
don't even know it. Does that idea make you feel uncomfortable? You
are probably experiencing the Semmelweis reflex kicking your
confirmation bias right now.

Knowing is half the battle. This talk will delve into some of the
well-known and less well-known biases that may be affecting your
ability to work with your peers, and your team's ability to work
constructively with other teams.

Attendees will leave the talk with an overview of biases they run into
every day, how to hack their brains to use these biases to their
advantage, and some tips on how to mitigate the effects of the
limitations baked into their wetware.

We have met the enemy and he is us.

Speaker:
Lindsay Holmwood
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/The DevOps Pay Raise Quantifying Your Value to Move Up the Ladder/","Dustin Whittle","The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder","Abstract:

DevOps, when done right, usually goes unnoticed. It&rsquo;s only when something breaks that all eyes turn to IT. If your boss only sees you when the app is down, however, that&rsquo;s not really doing your career any favors. In this session we&rsquo;ll talk about how to prove your value to the organization by looking at the positive side &ndash; that is, how much money you&rsquo;ve saved your company. We&rsquo;ll take a look at how you can use tools like Chef, Puppet, Sensu and Logstash to quantify your value to your company. After this session, you&rsquo;ll be able to walk into a meeting with your boss ready to talk about your value to the company (and to ask for a raise).


Why devops matters?
Tools of the trade


Chef + Puppet
Logstash + Loggly + SumoLogic + Splunk
Fabric + Capistrano + Jenkins
Sensu + Graphite
AppDynamics


Your real value


A case study in the cost of failure
Reactive to production failures


How to win
Automate everything
Maximum Visibility with Minimum Effort



Speaker:
Dustin Whittle
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/Service-oriented architectures A DevOps Dream Come True/","Matt Palmer","Service-oriented architectures: A DevOps Dream Come True","Abstract:

Automation is fun.  But dealing with the myriad of services that are in the
typical company that has been around for a while (can you say 'legacy
systems' without panicking?) tends to put a crimp in your style.  To add
insult to injury, automating everything can reduce your ability to clean
out the cruft because so many more things need to be changed in order to
retire a legacy system.

Enter: the service-oriented architecture.  Coming off the back of a
year-long effort to put APIs in front of everything, Anchor CTO Matt
Palmer will describe why Anchor decided to do all this work, what worked
well, what didn't work, the benefits we've seen since the introduction of
our new architecture, and how you can make a service-oriented utopia in your
own company.

Speaker:
Matt Palmer
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/Puppet On Windows and Linux In The Cloud - A Story Of Triumph Over Adversity/","Sebastian Cole (Mi9), Sam Newman (ThoughtWorks)","Puppet On Windows & Linux In The Cloud - A Story Of Triumph Over Adversity","Abstract:

Using Puppet and AWS to automate your infrastructure is all well and good for a Linux shop, but what about a Windows shop? Now throw in the complexity of supporting the infrastructure for one of Australia&rsquo;s busiest websites, and also relocation of a physical data centre into the cloud, and you have yourself a challenge!

Mi9 runs ninemsn.com.au along with multiple other websites, and over the last few months has been slowly moving away from physical hosting to move our websites into the cloud. We have now decided to move much of our existing Windows-based services over to AWS as well, while at the same time embracing automation, Puppet and Linux. This experience report will talk about how well Puppet works in a mixed Windows &amp; Puppet world, how to make PuppetMaster and CI play nicely together, managing OS-level access and why System Center Configuration Manager many not be the answer to all your prayers.

Speaker:
Sebastian Cole (Mi9), Sam Newman (ThoughtWorks)
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/MYOB: From no ops to devops in 12 easy months/","Peter May","MYOB: From no ops to devops in 12 easy months","Abstract:

The content of this presentation is an exposition of how a devops team came to be created at MYOB Accountants Division a year ago in June 2012, what the team has achieved, what the team hopes to achieve in the future, and the lessons to be learnt.

This presentation will be interesting because it touches upon:


How to convince management that a devops team is required.   [Took a while to convince my immediate boss]
How to get a devops team started up.    [What I did to kick off the team]
How to convince management that a devops team gives on-going value.    [My boss&rsquo;s boss was not convinced]
Is devops only for online software only or can it be applied to desktop software as well?    [The essence of devops applies equally I believe]
How to leverage devops to add value to the business.    [How the team came to the attention of the business beyond PD]
How does devops differ in for a software vendor vs enterprise software?   [Should become apparent during course of talk]
How important is tool selection?    [We spent almost time on this &ndash; was that wise?]



Speaker:
Peter May
",""
"","talk","http://devopsdays.org/events/2013-downunder/proposals/Lies that cloud APIs tell/","Michael Neale","Lies that cloud APIs tell","Abstract:

Amazon, rackspace and other top tier cloud hosting providers have
quite comprehensive apis, however these apis have a far lower QoS than
their hosting services, are eventually consistent (inconsistent?) in
many places, and can be generally very very hard to work with if you
get too carried away building on them. I got too carried away using
them, and thought other people would like to hear about this (having
said that, they are an excellent tool, but there are trick and traps
to avoid so your application works well)

Speaker:
Michael Neale
",""
