"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/NoSQL/","Tugdual Grall and Robin Jonhson","Why NoSQL Databases are the best for Devops?","Abstract:

Bringing Developers and Operations together helps companies to be more efficient to bring out new apps and services. Devops are using today many tools and technics to achieve continuous integration, deployment and monitoring. In this presentation will see why NoSQL databases are the best for Devops, and this for many reasons:

Schemaless/Flexible schemas allow developers to get back the control of what&rsquo;s going in the application! (Old fashion DBA most of the time do not have enough knowledge of the application to drive the data model!)

Easy Scalability and always on are key! The new database engines are built to scale easily. You can change the topology of your cluster (adding node for example), manage failures and upgrade on a running system with no impact on the running application.

This presentation will use real life use cases to show that NoSQL engine ease the deployment and monitoring of new applications, and also talk about the key things to look when you chose a solution and deploy it.

Speaker:

Tugdual Grall, Technical Evangelist, Couchbase
Tugdual 'Tug' Grall is a Technical Evangelist at Couchbase, an open source advocate and a passionate developer. He currently works with the European developer communities to ease the NoSQL adoption.  Tugdual is contributing to the Java and Node/JavaScript Couchbase SDKs.
Before joining Couchbase Tugdual was CTO of eXo the company behind the revolutionary online development tools Cloud-IDE and the open source social platform eXo Platform. Earlier Tugdual has worked as Product Manager and Developer on the Oracle Middleware focusing on Java EE platform.
Tug has spoken at number of conferences including  DevoxxFR, FOSDEM, Open Source Day Poland, Google I/O, JavaOne and many meetups and user groups. He is co-founder of the Nantes JUG (Java User Group) that holds since 2008 monthly meeting about Java ecosystem. He also writes a blog available at  http://tugdualgrall.blogspot.com and available @tgrall Finally when he finds the time to do it, he develops the site www.resultri.com a Google App Engine based application.

Robin Jonhson, Techical Evangelist, Couchbase
Over the last few years Robin Johnson has been involved in some of the Leading Social Gaming and Betting applications to grace the world wide web.  After bootstrapping an Award-Winning Social Gaming startup, Robin is a seasoned Distributed System and NoSQL advocate.  A polyglot Rubyist and Pythoner all in one, taking on roles from Frontend Developer to Software Engineer and Solutions Architect.
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/WhoYouGonnaCall/","Tom Duckering and Jim Gumbley","Who you gonna call? - getting devs on support","Abstract:

In many traditional software shops developers don't go on the 24/7 rota.
However, the ideas behind DevOps are challenging this assumption. We'll
explain some of the thinking behind the move to having devs on call.
We'll talk about some of the patterns that worked for us and added
value. We'll also highlight some of the roadblocks and pitfalls
encountered in attempts to make this change. Hopefully you'll leave
inspired to try this yourself, equipped to transform support, from being
necessary evil, into a competitive advantage.

Speakers:

Tom Duckering and Jim Gumbley
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/TrucksAndCargo/","Sam Lambert","When your distributed devices are trucks and the cargo is data.","Abstract:

The Smith Link telemetry platform gathers billions of metrics from its trucks globally every day. I will tell you the story of how it&rsquo;s done and the challenges we faced along the way.

My talk will be the story of a system that struggled under the weight of it&rsquo;s own ambition but grew to become a mature, scalable system that could process billions of transactions per day.

The system is the Smith Electric Vehicles Telemetry platform that collects 2,500 data points per second from each of it&rsquo;s electric trucks in real time. These data points include battery charge, truck health status, GPS location, battery status and many many others.

The success of the project has allowed truck R&amp;D teams to monitor their engineering efforts in real time to greatly improve development of the electric vehicle market. Through detailed analysis of truck usage data we have been able to shape the future of sustainable transport and reeducate drivers and evolve human interaction with this new technology.

This high level accessible talk will show attendees how the team used open source technologies such as MySQL, AMQP, C, Python, Memcahed, Linux and PHP to build a scalable, high throughput, large data analytics platform.

During the talk I will answer the following questions;


What are the downsides of a &lsquo;gather everything&rsquo; mentality?
What is the importance of defining your key metrics?
Why decouple your system and isolate moving parts?



and cover the following topics;


Scaling MySQL to quickly report on very high volumes of data
Thinking in message queues and building a data fire hose
Developing a flexible platform for limitless outward scalability
Creating a C based imbedded AMQP device that works on a CAN network



People will attend this talk to learn about a different type of project and how to apply rational thought and practices to large scale problems.
There is no need to have an advanced knowledge of any of the above technologies and the talk will suit anyone from any discipline.

Speaker:

Sam Lambert
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/WhenToDelegate/","John Stevenson","When to own & when to delegate","Abstract:

When do you take ownership of the products and services you run and when do you delegate them, for example to cloud services.

There are many cloud services out there that provide specific devops and ops services, so what measures do you use to judge the value of using them over building your own internal process?  When your apps or services are transitory or of unknown value, how do you quantify how much effort to put into them from a busy DevOps team?

Some examples include:


When do you use a service like github over establishing your own git repository management system.
When would you use Google App Engine or Heroku over you internal server commissioning and deployment process?
Does location of services matter so long as the required performance is there?



Speaker:

John Stevenson
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/Blame/","Eric Ritchie","What's really to blame? - A day in the life of your PHP app","Abstract:

You know how to play the Blame Game when Production is broken? Probably
you have good reasons for that. Nevertheless, it's better to work out
what really went wrong - fast. See in this session how a new PHP
application can be deployed flawlessly, scaling up and down and can be
managed automatically. Discover how Dev &amp; Ops can work together, in
concert, if the worst nightmare happens and the application breaks.

Speaker:

Eric Ritchie
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/AllOps/","Neeme Praks","User experience vs. AllOps experience","Abstract:

How often have you come across software projects where analysts spend 100% of their time on end-user requirements? In my experience, this is the typical case in most software projects.

How often have you come across software projects where analysts spend their time on end-user requirements AND also on QA-team requirements, operations-team requirements, marketing-team requirements and other stakeholder requirements? In my experience, not that often.

In this talk I present most common patterns and anti-patterns from personal experience are useful for the DevOps crowd:


Ops UX: application configuration file formats (XML, key=value, INI, etc)
Ops UX: CLI vs. GUI
Ops UX: monitoring application health
Ops UX: ease of install, ease of upgrade
QA UX: typical options that should be configurable so the system is testable in days instead of years



Speaker:

Neeme Praks
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/The evolution of monitoring at Prezi/","Gabor Veszi","The evolution of monitoring at Prezi","Abstract:

Through the story of our monitoring system I&rsquo;d like talk about culture.
Last year we doubled our active user count. As more users mean more
responsibility, we had to concentrate on improving availability while
simultaneously scaling our backend. One important component of this
process is improvements in our monitoring system. I&rsquo;d like to show how
a good monitoring system enables happy and effective component owners.

Originally we had the traditional, entirely separate Dev and Ops
silos: we contracted with a company that was responsible for
operations, and they used their own monitoring system. We added our
own application metrics to this system, and when they received an
alert they tried to solve the issue. As you can imagine, this
arrangement had some problems. We have since got rid of these silos,
bringing our ops in house, and are now much happier.

In this talk I'd like to present what we did to improve our monitoring
situation in small steps: we created our own monitoring system that
makes it trivial for developers to add checks of our complex system.
We introduced the concept of component ownership, and even though our
developers must be woken up for some alerts at night, everyone is more
satisfied than before.
The talk will go into detail about the system itself as well as the
social aspects of the arrangement.

Speakers:

Gabor Veszi
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/TheDeliverator/","Sebastien Cevey","The Deliverator: a dashboard to tell you why code is not live yet","Abstract:

Software development goes through a series of stages, from code being
written &amp; reviews, to building and deployment, testing both automated
and by QAs, until the final release.

Typically, each step is managed by a separate service. At the
Guardian, we manage stories in Pivotal Tracker. We commit code in Git
and push it to Github, where we use pull requests to review and sign
off code. TeamCity runs tests and builds deployable artifacts. Our
RiffRaff system deploys those artifacts to the different pre-prod
environments, where they can be QA'd before they are released to the
production environment.

While it is a good habit for services to do one thing and do it really
well, it also means that the state of a piece of code (generally, a
branch in Git) is scattered, and it becomes unusually hard to answer
some simple questions such as:


Does a feature build successfully? Has it been code reviewed? Has it
been QA'd?
What branch is deployed on each of the environments? Is it the latest build?
What changes are about to be released?
What changes have been released last?



Or more generally, why is code not live yet?

The Deliverator is a dashboard we use to provide immediate and
up-to-date information on all the code under development. Rather than
enforcing a fixed workflow, it displays the build and review states as
simple indicators, fetched from the different services involved. It
also shows what feature is deployed to each environment, and allows
updating or deploying a new feature anywhere in a single click.

Speaker:

Sebastien Cevey
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/StartupOps/","David Mytton","StartOps: Growing an ops team from 1 founder","Abstract:

Description: Bootstrapped startups don't have the luxury of a full team of ops engineers available to respond to issues 24/7, so how can you survive on your own? This talk will tell the story of how to run your infrastructure as a single founder through to growing that into a team of on call engineers. It will include some interesting war stories as well as tips and suggestions for how to run ops at a startup.

Speaker:

David Mytton
",""
"","talk","http://devopsdays.org/events/2013-london-spring/proposals/SmartLogging/","Neil Avery and Andrew Coates","Sportingbet: Smart Logging for Better Monitoring","Abstract:

Logging has traditionally been a third-class citizen in most organisations. In many cases, if software teams think about monitoring and logging at all, it is often well after they&rsquo;ve written tests and code, and sometimes even after their software has been deployed to production.

But at companies like Sportingbet, DevOps is now opening peoples&rsquo; eyes to the possibilities of better monitoring and better dashboards. There are of course many new tools available to help with this, but they are decidedly limited by the richness of the data that is fed to them. It&rsquo;s now relatively easy to correlate structured and unstructured data to get real-time visibility of system activity. Now it&rsquo;s time to make sure the right data is actually there. Enter: smart logging.

Done smartly, logging can provide complete end-to-end traceability of transactions through a system. It can improve uptimes by making it easier to troubleshoot when things go wrong. It can reveal performance bottlenecks and help make continuous improvements over time. And it can speed up development by reducing the effort required to test and debug issues.

But: &ldquo;What to log?&rdquo;, &ldquo;How to log?&rdquo;, &ldquo;When to log?&rdquo;  These are the questions. In this talk, we&rsquo;ll share our experience of building monitorable high-performance grid systems, where smart logging is a requirement, because otherwise it&rsquo;s just too painful when things go wrong. We&rsquo;ll also explore patterns and practices for baking smart logging into the software development process, the team, and the organisation. And we&rsquo;ll share how this has been applied at Sportingbet, along with some of their pain points. We&rsquo;ll also show how all of this can lead to more meaningful dashboards to monitor and optimise your systems.

Speaker:

Neil Avery (Logscape) Andrew Coates (Sportingbet)
",""
