"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-london/proposals/versioning and deployment automation in production/","Frédéric Descamps","versioning and deployment automation in production","Abstract:

Deployment automation is now almost everywhere thanks to the devops movement, tools like puppet and chef are now very popular. However even if it's very easy to deploy packages and configurations, how easy is it to maintain database schemas and how can this task be automated ? During this session, I will try to describe the problematic and bring one of the solution using existing tools like Oracle's MySQL Utilities and Percona Toolkit.

Speaker:
Fr&eacute;d&eacute;ric Descamps, Consultant, Percona
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/Writing automatable software and maybe encouraging a devops culture by stealth/","Robin Osborne","Writing automatable software and maybe encouraging a devops culture by stealth","Abstract:

Writing automatable software and maybe encouraging a devops culture by stealth

As much as devops isn't about just environment automation, that's where a large amount of the focus has been for the past year or so since the unfortunately extremely catchy term became popular with recruiters.

This tends to mean that to the outside observer the emphasis in 'devops' is firmly on 'ops'; this puts off a lot of developers, testers, DBAs, architects, from getting involved.

The session is about what I believe to be a half decent approach to software design and development which may help introduce aspects of a devops culture almost by coincidence, hopefully giving developers and architects some cause for realising they need to get fully stuck in, and how they might approach doing so.

It's also a work in progress currently being tested in a large online retailer with an organically grown internal system on which most other systems depend; the anti-CI, if you will..

Speaker:

I'm Robin Osborne, a developer and pragmatic architect through and through (but with a history of being Ops-y QA-y DBA-y enough to get the job done) - who is getting a bit addicted to pitching for conferences recently - and I want to get more developers interested thinking about what they can bring to the devops table.

I've been a developer for the best part of 15 years professionally; nearer 25 including those unpaid years tinkering with a ZX Spectrum/Amiga 600, and using Unix (Sun Solaris) and PC at university, before ending up on a PC for work. And various linuxes. And Mac.

I always did a bit of everything; design, dev, db, deploy, app support, desktop support, BA, PM, Dev Manager (everything except UI - I'm crap with photoshop..); whatever was needed to help get whatever I was working on delivered.

I can't really understand why there are so many developers happy to build something that passes some QA tests and then head to pub, happy that their work is done; if it's not delivered and it's not working, it's not done.
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/What science tells use about information infrastructure/","Mark Burgess","What science tells us about information infrastructure","Abstract:

This talk will be based upond my new book: http://markburgess.org/certainty.html

It would be a high level talk about :


what is weak about the way we currently run infrastructure
how to think in systems
how to deal with scale and complexity using real scientific methods (instead of guesswork)



And finally, why 'APIs will be our undoing' and why devops is crucial to the success of infrastructure in the future.

Speaker:
Mark Burgess - Creator of Cfengine - Father of all Configuration Management tools

http://markburgess.org/bio.html
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/UI testing, the missing piece in Continuous Integration/","Christoph Burgmer","UI testing, the missing piece in Continuous Integration","Abstract:

When it comes to nodding through release candidates, software including a user interface quite often requires manual checks. This does not only slow down and complicate the release process - the repetitive nature of these tests is prone to induce human errors.

This year has seen the release of a few tools that try to solve this problem by introducing automation for UI testing. I'd like to highlight some of these tools, and show how they can offer automatic validation of UI components.

Speaker:

Christoph likes building things around software and loves languages. He is a developer at ThoughtWorks and while spending much of his time around the frontend parts of systems likes to deploy stuff himself.
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/Ticketmaster's search for meaningful performance monitoring and alerting at scale/","Connon MacRae","Ticketmaster's search for meaningful performance monitoring and alerting at scale","Abstract:

A potted history of products we've used, why we changed them and the challenges we currently face which have lead to our investment of effort into Splunk, LogStash, Kibana, OpenTSDB and . . . . some open questions . . . .

It's the story of how the Technical Operations group came to appreciate the need to share information and to encourage collaboration between groups and across organisations.

Speaker:

Connon is part of the Systems Engineering team in Global Technical Operations at Ticketmaster and has been with Ticketmaster since 1997. Ticketmaster is the worldwide leader in ticketing for sporting, music, theatre and arts events.
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/The Network - The Next Frontier for Devops/","John Willis","The Network - The Next Frontier for Devops?","Abstract:

Around 6 years ago I started working with some tools that focused on software engineering collaboration and automation for operations. At the time products like CFEngine and Puppet were the two main tools promoting this new way of doing operations and sharing within operations and software development.  A year later Chef was born and I was fortunate enough to join Opscode as the 9th employee as an evangelist preaching this disruptive form of collaboration and automation.  At the time a majority of IT infrastructure was managed by what I called the &ldquo;Bob&rsquo;s&rdquo; of the world.  Bob&rsquo;s scripts, Bob&rsquo;s directories and Bob to death do us part.  Trying to explain to Bob the benefits of collaboration and software engineering principles was a hard fought battle over the years.  One of the compelling events that helped propel these ideas (what we now call Devops) was cloud computing.  Fast forward to 2013 and these infrastructure automation and collaboration battles still exist but the battles are far less bloody.  Now a new war is emerging in the Network operations and engineering space.  The same argument for network operations adopting these principles has always been the same as system ops; however, now the new compelling event is the virtualization of the network.  Software Defined Networks is a lot of buzz, but the reality is that many network operations and engineering groups are dealing with an influx of highly virtualized tooling like OpenVswitch, Openflow, OpenDaylight and NSX.  Configuration tools are starting to get more sophisticated on these virtualized systems doing things like automated VLAN to Port mapping and basic system hardening.  Chef and Puppet both have introduced primitives supporting platforms like Arista, Juniper and Cumulus Networks.  Help me start the discussion of what Devops and the Network really mean.

Speaker:

John Willis, Director of Client Services

John Willis has worked in the IT management industry for more than 30 years. Prior to joining Enstratius, Willis was the VP of Solutions for DTO Solutions where he led the transition to a new suite of automated infrastructure and DevOps solutions. Prior to DTO Solutions. Willis was the VP of Training &amp; Services at Opscode where he formalized the training, evangelism, and professional services functions at the firm. Willis also founded Gulf Breeze Software, an award winning IBM business partner, which specializes in deploying Tivoli technology for the enterprise. Willis has authored six IBM Redbooks for IBM on enterprise systems management and was the founder and chief architect at Chain Bridge Systems.
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/The Future of Devops: what will it mean in 2018/","Andrew Phillips","The Future of Devops: what will it mean in 2018?","Abstract:

Panel discussion/moderated general discussion

From the first experimental days, Devops has evolved into a relatively mature approach for many tech organizations and has attracted a lot of attention from 'Big IT'. What will the influx of big vendors and, especially, adoption by large enterprises mean for Devops? What practices and tools will be using in 5 years time? Will Devops split into multiple 'schools'? How do we avoid 'Devops' becoming another blanket phrase without any real meaning?

Speaker:

Andrew Phillips, VP, Product Management Xebialabs
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder/","Tom Levey","The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder","Abstract:

DevOps, when done right, usually goes unnoticed. It&rsquo;s only when something breaks that all eyes turn to IT. If your boss only sees you when the app is down, however, that&rsquo;s not really doing your career any favours. In this session we&rsquo;ll talk about how to prove your value to the organisation by looking at the positive side &ndash; that is, how much money you&rsquo;ve saved your company. We&rsquo;ll take a look at how you can use tools like Chef, Puppet, Sensu and Logstash to quantify your value to your company. After this session, you&rsquo;ll be able to walk into a meeting with your boss ready to talk about your value to the company (and to ask for a raise).

Speaker:

Tom Levey is a Technology Evangelist at AppDynamics. Tom is responsible for promoting best practices of application performance management (APM) for distributed applications running in cloud, virtual and physical environments.

Tom has spent 6 years helping organisations to build robust APM technology strategies and has the scars to show for it. He received his BSC in Computer Science and after working as a Java application developer he decided someone really needed to help the world optimise the performance of their applications!

He is an adrenaline junky who loves speed and hopes one day all applications will be able to keep up.
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/That's Mr. The Plague to you! Security and this devops thing/","Ben Hughes","That's Mr. The Plague to you! Security and this devops thing.","Abstract:

The landscape of security is very different to when we were
younger. What possible directions is it heading in, and have we been
looking at it wrong all this time?

Devops culture has brought a number of improvements to the way engineering
and operations interact with each other and it's time security comes along
for the party too! This talk will discuss what we, at Etsy, have done to
make people stop thinking of security as a four-letter word

Rationale:

It's a two part talk, at a dazzling pace, security talk and a devops talk.

I think this would be grand, as security is occasionally an after thought.
A lot of smaller shops don't have a dedicated security person or team, and
this talk features things you do even without that. Plus devops really
needs to stop being an organisational silo.... (=

Speaker:

Ben Hughes
",""
"","talk","http://devopsdays.org/events/2013-london/proposals/Shout if you are Devops - A devops Quiz/","Andrew Phillips","Shout if you are Devops - A devops Quiz","Abstract:

Panel discussion/moderated general discussion

As Devops matures within the forerunners of the field and more and more companies look to get in on the game, the question of what 'doing Devops' concretely implies comes up frequently. Which three questions would you ask to determine how 'well' your organization is doing Devops? We'll present our favourite answers from previous discussions and are looking forward to hear more!

Speaker:

Andrew Phillips, VP, Product Management Xebialabs
",""
