"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-paris/proposals/NoSQL/","Tugdual Grall","Why NoSQL Databases are the best for Devops?","Abstract:

Bringing Developers and Operations together helps companies to be more efficient to bring out new apps and services. Devops are using today many tools and technics to achieve continuous integration, deployment and monitoring. In this presentation will see why NoSQL databases are the best for Devops, and this for many reasons:


Schemaless/Flexible schemas allow developers to get back the control of what&rsquo;s going in the application! (Old fashion DBA most of the time do not have enough knowledge of the application to drive the data model!)
Easy Scalability and always on are key! The new database engines are built to scale easily. You can change the topology of your cluster (adding node for example), manage failures and upgrade on a running system with no impact on the running application.



This presentation will use real life use cases to show that NoSQL engine ease the deployment and monitoring of new applications, and also talk about the key things to look when you chose a solution and deploy it.

Speaker:

Tugdual Grall, Technical Evangelist, Couchbase

Tugdual 'Tug' Grall is a Technical Evangelist at Couchbase, an open source advocate and a passionate developer. He currently works with the European developer communities to ease the NoSQL adoption.  Tugdual is contributing to the Java and Node/JavaScript Couchbase SDKs.

Before joining Couchbase Tugdual was CTO of eXo the company behind the revolutionary online development tools Cloud-IDE and the open source social platform eXo Platform. Earlier Tugdual has worked as Product Manager and Developer on the Oracle Middleware focusing on Java EE platform.

Tug has spoken at number of conferences including  DevoxxFR, FOSDEM, Open Source Day Poland, Google I/O, JavaOne and many meetups and user groups. He is co-founder of the Nantes JUG (Java User Group) that holds since 2008 monthly meeting about Java ecosystem. He also writes a blog available at http://tugdualgrall.blogspot.com and available @tgrall Finally when he finds the time to do it, he develops the site http://www.resultri.com a Google App Engine based application.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/TransformerDesDevsEnDevops/","Fabrice Bernhard","Transforming devs into devops","This talk will be given in English

 English Abstract:

In the world of web development, the competence of a developer as perceived by his peers is usually more linked to his skills in system administration than his pure coding expertise. The polyvalence of the devops is indeed a quality that enables him to unblock critical situations, where a pure coder, even excellent, would be struggling.

Let us transform all the devs into devops then! It is unfortunately not that easy, since the greatest part of the polyvalence is based on experience, hard to transfer rapidly.

How can we accelerate the acquisition of experience? How can we transfer the 'scars' of the veteran sys-admin to the freshly-arrived juniors ? How can we help autodidact sysadmins adopt the devops philosophy? How can we avoid that the introduction of tools typically associated with devops culture (vagrant, chef, puppet, fabric, etc.) makes system administration become even more complex to the juniors?

These are the questions we have asked ourselves in our team, with some solutions and a few reflexion paths:
the devops folder


the homemade IAAS
the anti-magical provisioning
the sudo for all
the quality board
the pair-devopsing
the pseudo-on-call



The goal is to tackle all these subjects without prejudices and open reflexion topics that can be further discussed during the open-space sessions.

R&eacute;sum&eacute; en Fran&ccedil;ais:

Dans le monde du d&eacute;veloppement web, on constate que la valeur per&ccedil;ue d'un d&eacute;veloppeur par ses pairs est souvent plus li&eacute;e &agrave; ses comp&eacute;tences en administration syst&egrave;me qu'en ses comp&eacute;tences en d&eacute;veloppement &agrave; proprement parler. La polyvalence du devops est en effet la qualit&eacute; qui permet de d&eacute;bloquer les situations les plus difficiles, quand les autres d&eacute;veloppeurs, m&ecirc;me excellents, pataugent.

Une grande partie de cette polyvalence est bas&eacute;e sur l'exp&eacute;rience, difficile &agrave; transmettre rapidement. Comment acc&eacute;l&eacute;rer l'acquisition d'exp&eacute;rience ? Comment faire adopter la philosophie devops aux autodidactes de l'administration syst&egrave;me ? Comment &eacute;viter de remplacer la magie de la mise en production par les 'admins' en magie de la mise en production par 'le script' et impliquer les d&eacute;veloppeurs sur ces aspects ?

Voici les questions que nous avons &eacute;t&eacute; amen&eacute;s &agrave; nous poser dans notre &eacute;quipe, avec quelques solutions et encore plusieurs pistes de r&eacute;flexion :


le dossier 'devops' dans chaque projet
mise en place d'un IAAS low-cost avec LXC et Fabric
provisioning simple : fabtools VS chef-solo
vagrant
pair-deploying



Le but est d'aborder ce sujets sans pr&eacute;jug&eacute;s et ouvrir des pistes de r&eacute;flexion &agrave; approfondir en open-space

Pourquoi ?

J'aimerais que tous les devs dans l'&eacute;quipe soient des devops aguerris. Mais je me rends compte que c'est plus facile &agrave; dire qu'&agrave; faire.

D'ailleurs quand on regarde les offres de formation, on se rend compte qu'il en existe pl&eacute;thores en d&eacute;veloppement, et quasiment aucune en gestion d'infrastructure web. La transmission de l'exp&eacute;rience, des 'cicatrices' pour reprendre l'expression d'un devops lors d'un meetup, est difficile &agrave; rendre m&eacute;thodique. Et l'introduction des outils typiquement associ&eacute;s &agrave; la culture devops (vagrant, chef, puppet, fabric, etc.) ne garantit pas une mont&eacute;e en comp&eacute;tences au contraire, elle peut faire para&icirc;tre l'administration syst&egrave;me encore plus complexe pour le d&eacute;veloppeur junior. Bref sujet passionnant mais sans solution magique pour l'instant.

Speaker:

Fabrice Bernhard, Fondateur et Directeur Technique Theodo
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/ScalingDevOpsInTheEnterprise/","Rainer Heinold","Scaling DevOps in the Enterprise – Best Practices and Building Blocks","Abstract:

Although DevOps is one of the hot topics for C-level executives, a lot of initiatives fail or don&rsquo;t produce value for an organization. However, the roll-out of Agile methodologies increases the pressure on development and operations to improve the ability to take new applications and features into production.

The session describes a tool-independent blueprint of a successful DevOps reference implementation in a large multi-national organization, highlighting the key factors that are necessary and how organizations can transform their infrastructure re-using the different capabilities they already have.

Speaker:

Rainer Heinold, Senior Technical Director EMEA, CollabNet, Inc.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/ReleaseManagementIgnite/","Sylvain Cailliau","Release management at the speed of agile","This talk will be given in English

Abstract:

Release management happens once software has gone through the process of development and testing. However, as teams move over to agile, they begin put through more software releases as they change from long development phases to shorter sprints that track against the business requirements more closely. More releases means more change in production. The DevOps movement is familiar with this, and working to change the situation.

There are three areas where discussion and integration can take place, and that is what this talk will go through, based on experience of enterprise software organisations and deployments of release management and automation.

Theme #1 - Automation

Automating release management should solve a lot of the problems that exist for DevOps teams. And it will do. But it is not the only step that has to be thought about. Release automation is the technical step that has to be achieved, but there are two other areas that also have to be considered.

Once releases are automated, putting a calendar for release scheduling in place is a really good idea. Agile teams don't work in isolation, but they do have to think about dependencies and when releases are switched into production after testing. This is a simple step that makes the automation process deliver the goods. In enterprise environments, I have found that this calendaring can be difficult as teams are more spread out and dispersed, so having on version of the truth really helps.

Secondly, putting releases into a framework and history is a necessary step as well. Larger organisations will want this for their own audit and control purposes, while it is still worth having for smaller organisations as it helps with tracking problems. After all, those who don't know their history are doomed to repeat it.

Theme #2 - Process

Getting release automation in place does not happen by magic. It does take time and collaboration across teams. What can be valuable for everyone involved in this is the establishment of baseline processes that should be followed during each release. Steps within these processes can then be automated as well, rather than relying on human action that can bring in errors. This can also help when judging the appropriate process for releases - not all will require the same level of rigour as others, if they don't touch on core systems or don't have dependencies that could lead to issues.

There are also steps that organisations can take around role splits - ensuring that people can't put their own software into production without the appropriate testing or release approval for example. The balance point is that these steps should bot get in the way of release management and automation, but that they help it get completed quicker by proving that work is good.

Theme #3 - Continuous

The move to continuous deployment and continuous delivery fits really well with release automation. However, how each of these steps is then linked together can be more interesting. With some of the eneterprises I have been working with, we have established the concept of the 'trust line' - that is, how far along the process can something be automated between development and production.

For smaller or non-critical releases, steps around testing may be fully automated and if they are passed, releases can be put in automatically. for critical projects, the UAT and testing phase may remain manual. Each release should be judged according to its potential impact, and how much value it can offer by getting into production faster.

Then a quick note about rework. One of the big pain points in the enterprise is the amount of rework that is taking place around projects. Getting the right approach in place around release management can free up time spent on manually managing deployments, and that time can instead be spent on making sure that code is better in the first place. Automation of releases should sit alongside more traceability of code - this means being able to point to good work and bad. Taking some of the timescale pressure that implementation and release can lead to and instead focusing on getting stuff right first time is therefore a strong secondary benefit.

Speaker:

Sylvain Cailliau, Serena Software

Sylvain Cailliau is the SERENA Technical Director for the Western Europe territory. With 26 years of experience in the Software Development industry both from the End User and the Software Editor side, he is a Specialist of Configuration Management and Development Process, he masters all the Development Life Cycle Disciplines from Requirement Management to Demand Management to Configuration Management and Build to Release Management. His main responsibility is the management of complex ALM projects from initial meeting with customers to SERENA solution deployment to follow-up process improvements (THALES, BNPP, ORANGE, VALEO are some of the customers with international scope he has been responsible for). He is ITIL certified and SCRUM Master.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/ReleaseManagement/","Sylvain Cailliau","Release management at the speed of agile","Abstract:

Release management happens once software has gone through the process of development and testing. However, as teams move over to agile, they begin put through more software releases as they change from long development phases to shorter sprints that track against the business requirements more closely. More releases means more change in production. The DevOps movement is familiar with this, and working to change the situation.

There are three areas where discussion and integration can take place, and that is what this talk will go through, based on experience of enterprise software organisations and deployments of release management and automation.

Theme #1 - Automation

Automating release management should solve a lot of the problems that exist for DevOps teams. And it will do. But it is not the only step that has to be thought about. Release automation is the technical step that has to be achieved, but there are two other areas that also have to be considered.

Once releases are automated, putting a calendar for release scheduling in place is a really good idea. Agile teams don't work in isolation, but they do have to think about dependencies and when releases are switched into production after testing. This is a simple step that makes the automation process deliver the goods. In enterprise environments, I have found that this calendaring can be difficult as teams are more spread out and dispersed, so having on version of the truth really helps.

Secondly, putting releases into a framework and history is a necessary step as well. Larger organisations will want this for their own audit and control purposes, while it is still worth having for smaller organisations as it helps with tracking problems. After all, those who don't know their history are doomed to repeat it.

Theme #2 - Process

Getting release automation in place does not happen by magic. It does take time and collaboration across teams. What can be valuable for everyone involved in this is the establishment of baseline processes that should be followed during each release. Steps within these processes can then be automated as well, rather than relying on human action that can bring in errors. This can also help when judging the appropriate process for releases - not all will require the same level of rigour as others, if they don't touch on core systems or don't have dependencies that could lead to issues.

There are also steps that organisations can take around role splits - ensuring that people can't put their own software into production without the appropriate testing or release approval for example. The balance point is that these steps should bot get in the way of release management and automation, but that they help it get completed quicker by proving that work is good.

Theme #3 - Continuous

The move to continuous deployment and continuous delivery fits really well with release automation. However, how each of these steps is then linked together can be more interesting. With some of the eneterprises I have been working with, we have established the concept of the 'trust line' - that is, how far along the process can something be automated between development and production.

For smaller or non-critical releases, steps around testing may be fully automated and if they are passed, releases can be put in automatically. for critical projects, the UAT and testing phase may remain manual. Each release should be judged according to its potential impact, and how much value it can offer by getting into production faster.

Then a quick note about rework. One of the big pain points in the enterprise is the amount of rework that is taking place around projects. Getting the right approach in place around release management can free up time spent on manually managing deployments, and that time can instead be spent on making sure that code is better in the first place. Automation of releases should sit alongside more traceability of code - this means being able to point to good work and bad. Taking some of the timescale pressure that implementation and release can lead to and instead focusing on getting stuff right first time is therefore a strong secondary benefit.

Speaker:

Sylvain Cailliau, Serena Software

Sylvain Cailliau is the SERENA Technical Director for the Western Europe territory. With 26 years of experience in the Software Development industry both from the End User and the Software Editor side, he is a Specialist of Configuration Management and Development Process, he masters all the Development Life Cycle Disciplines from Requirement Management to Demand Management to Configuration Management and Build to Release Management. His main responsibility is the management of complex ALM projects from initial meeting with customers to SERENA solution deployment to follow-up process improvements (THALES, BNPP, ORANGE, VALEO are some of the customers with international scope he has been responsible for). He is ITIL certified and SCRUM Master.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/RefonteAgileApplicationObsolete/","Fabrice Bernhard","Refonte agile d'une application obsolète","Abstract:

Entre les d&eacute;buts du web, la sortie de Rails 1.0 en 2005, et maintenant Rails 3, Symfony2 Play2, Zend Framework2, Django 1.5 etc. beaucoup d'applications webs critiques ont &eacute;t&eacute; d&eacute;velopp&eacute;es sur des architectures improvis&eacute;es et des technologies aujourd'hui obsol&egrave;tes. Ces applications sont difficiles &agrave; faire &eacute;voluer et repr&eacute;sentent un vrai danger pour la v&eacute;locit&eacute; des entreprises qui en d&eacute;pendent.

La solution de tout jeter pour recommencer est peut-&ecirc;tre tentante pour l'&eacute;quipe de d&eacute;veloppeurs mais c'est une solution extr&ecirc;mement risqu&eacute;e en termes de continuit&eacute; de services. Pour diminuer le risque, il faut avoir une approche agile &agrave; la fois dans le d&eacute;veloppement des &eacute;volutions et dans la mise &agrave; jour de l'application en production et bien coordonner les deux aspects : il faut une approche devops.

Bas&eacute;e sur l'exp&eacute;rience de plusieurs projets, nous aborderons les 7 &eacute;tapes chronologiques de la refonte agile d'un existant associ&eacute;es &agrave; des solutions culturelles et techniques que nous avons identifi&eacute;es :


pr&eacute;vention des r&eacute;gressions
mise &agrave; jour de l'infrastructure
gestion du routing et des entr&eacute;es/sorties
partage du layout
int&eacute;gration de la session
amorcer la transition la du code vers une architecture orient&eacute;e service
migration progressive du mod&egrave;le et des donn&eacute;es



Nous verrons au passage que l'essentiel des probl&eacute;matiques rencontr&eacute;es pendant une refonte agile sont celles auxquelles s'int&eacute;resse le mouvement devops.

Pourquoi ?

Le sujet de la migration progressive de Symfony1 vers Symfony2 est un sujet sur lequel nous travaillons beaucoup chez Theodo et Allomatch. En effet dans les deux soci&eacute;t&eacute;s nous travaillons &eacute;norm&eacute;ment avec Symfony et la version 2 n'est pas juste une am&eacute;lioration mais un nouveau framework, donc pas de migration automatique possible.

Au fur et &agrave; mesure que nous avons pris du recul sur le sujet nous nous sommes rendus compte que l'ensemble des solutions que nous mettons en place sont haut-niveau et donc g&eacute;n&eacute;ralisables &agrave; n'importe quel langage ou framework. Nous nous rendons aussi compte que beaucoup des solutions que nous apportons sont culturelles et que nous introduisons sous couvert de 'solution innovante de migration progressive' tout un ensemble de bonnes pratiques devops sur les projets : monitoring business, int&eacute;gration continue, pipeline de d&eacute;ploiement automatis&eacute;, releases petites et r&eacute;guli&egrave;res, etc. D'un point de vue haut-niveau, ce que nous apportons c'est un regain de v&eacute;locit&eacute; sur des projets embourb&eacute;s, ce qui &agrave; mon avis est exactement l'objectif de la philosophie devops.

J'ai d&eacute;j&agrave; abord&eacute; notre exp&eacute;rience sur la migration progressive de Symfony1 &agrave; Symfony2 en conf&eacute;rences, je n'ai jamais eu l'occasion d'aborder le sujet d'un point de vue non Symfony et plus devops.

Speaker:

Fabrice Bernhard, Fondateur et Directeur Technique Theodo
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/ProduitOuProjet/","Rémy-Christophe Schermesser","Produit ou Projet ?","This talk will be given in English

Abstract:

Disclaimer: If you successfully perform your projects, this session is not for you.

In an I.T. Department projects fail (well not all of them).

On the internet, products are successful (except those who fail).

We will try to understand the major differences between a project and a product. And see how IT projects can learn from the process of making a product.

We look at the of Lean methodologies, Product Management and Lean Startup.

R&eacute;sum&eacute;:

Disclaimer : Si vous r&eacute;ussissez vos projets, cette session n'est pas pour vous.

Dans une DSI, les projets &eacute;chouent (enfin pas tous).

Sur internet, les produits r&eacute;ussissent (sauf ceux qui meurent).

Tentons de comprendre les diff&eacute;rences majeures entre projet et produit. Et voyons comment les projets informatique peuvent apprendre de la d&eacute;marche produit.

Nous regardons du c&ocirc;t&eacute; des m&eacute;thodologies Lean, Product Management et Lean Startup.

Speaker:

R&eacute;my-Christophe Schermesser, Octo Technology

R&eacute;my-Christophe is currently working at Octo Technology as a senior consultant.

He began his career in web development with a focus on quality and testing.

He subsequently developed an expertise in agile methodologies, Lean and Kanban which he had set up for different clients.

His curiosity for the problems of product development from market study to commercialization was what brought him to study Lean Startup, Product development and Customer Development.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/Our DevOps story - Chef + Rails for customer cloud control/","Steven De Coeyer / Joren De Groof","Our DevOps story: Chef + Rails for customer cloud control","Abstract:

In our hosting company, we use Chef to manage all user and web app configuration on our shared and private hosting environments. We've put this power in the hands of our end users through Sock, our control panel. What first started out as an automation tool for managing new servers, is now our core server configuration tool for us as well as our customers and their customers. Where a DirectAdmin, cPanel or Plesk failed in giving us an overhead management is where our Sock + Chef solution picked up. With Ruby Developers and Sysadmins literally at the same table, we were able to concurrently build the two sides of this story.

Our talk will show how we use Chef to continuously manage not only the servers but everything on it (accounts, webapps, ssh keys, Solr, Varnish, databases, &hellip;). We want to show how we use Chef in a dynamic way to shuffle and manage user- and web app configurations across a large pool of shared and dedicated servers.

Speaker:

Steven De Coeyer and Joren De Groof

Steven (Ops) and Joren (Dev) work at Openminds, a Belgian B2B hosting company offering custom cloud solutions.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/lpuppet/","Simon Marechal","Optimizing your Puppet workflow with fast software and strong tests","Abstract:

The 'infrastructure as code' mantra is followed by countless sysadmins around the world. The choice of words implies that practices from the development world should be adopted by sysadmins, yet one would be overjoyed to be able to implement the basics. Functionalities taken as granted for developers, such as easily debugging a configuration or writing complex tests, have currently no real equivalent in the devops world.

This talk will start by an overview of common practices developed around the Puppet tool, such as following development conventions, unit-testing modules, using vagrant setups to test changes, and using a good IDE. It will be followed by a rant about how these practices and tools are either a far cry from what is sorely needed, or in some cases entirely unusable. It will then describe a common anti-pattern that derives from these limitations.

The presentation will then switch to a long demonstration, highlighting functionalities of the language-puppet library and associated tools. The following subjects will be demonstrated:


quickly testing for syntax and semantic correctness at the catalog level: testing that syntax is OK, that all resources are properly defined, that all relationships between resources are valid, that there are no problems with the templates and that all sourced files are present
quickly getting the difference between two catalog, either between distinct servers or between two versions of the same configuration, including a demonstration of the usefulness of such a feature in template development
writing very strong tests, such as testing for interactions between nodes, arising from the use of exported resources or calls to the PuppetDB



If time permits, a few words on the important of performance in such tools will be given. The talk will then conclude with a preview of future features of the library, and a good dose of Haskell proselytism.

Speaker:

Simon Marechal

Simon Marechal has been working as an information security consultant for the private sector, and then as a security inspector for the ANSSI.

During that time, he nurtured a taste for effective and secure practices that is now put at use in his current sysadmin position.

He is now pursuing ways to achieve greater levels of effectiveness in his day to day practice, and is very fond of programming language flame wars.
",""
"","talk","http://devopsdays.org/events/2013-paris/proposals/OpenstackPackagingGestion/","Julien Rabier, Cédric Lecomte","Openstack : packaging et gestion de configuration","Abstract:

Nous proposons de pr&eacute;senter lors d'une session de 30min le travail r&eacute;alis&eacute; par les &eacute;quipes DevOps d'eNovance sur OpenStack au travers de deux aspects :


le packaging upstream dans Debian


Pourquoi packager ?
Pourquoi nous avons choisi de packager upstream dans le projet Debian ?


la gestion de configuration via Puppet


L'importance de l'automatisation dans le d&eacute;ploiement et la maintenance d'une solution de cloud


Le versioning &agrave; grande &eacute;chelle (maitrise et coh&eacute;rence des configurations sur N machines)
Le d&eacute;ploiement on demand (possiblit&eacute; de rajouter des machines et de les int&eacute;grer facilement)
Facilite les process d'int&eacute;gration continue


Pourquoi utiliser les modules pour Openstack de Puppetlabs et contribuer &agrave; leur &eacute;criture ?


Les gens de chez Puppetlabs (dont Dan Bode le mainteneur officiel de ces modules) savent ce qu'ils font (architecture du module, providers, &hellip;)
Les contributeurs repr&eacute;sentent les principales distributions Linux (Ubuntu, Debian, RedHat, Fedora, &hellip;)
Grande libert&eacute; dans le choix de l'architecture Openstack d&eacute;ploy&eacute;e gr&acirc;ce aux contributions des diff&eacute;rents acteurs (topologie r&eacute;seau, choix de l'hyperviseur, &hellip;)
Respect des good practices : pull requests, tests unitaires, int&eacute;gration continue
&Eacute;cosyst&egrave;me des modules puppet : RabbitMQ, MySQL, Memcached, Sysctl, Inifile, &hellip;
Contribution d'un module pour Ceilometer







Speakers:

Julien Rabier, Project Manager, eNovance

C&eacute;dric Lecomte, eNovance
",""
