"votes","type","url","author","title","description","voter1"
"","talk","http://devopsdays.org/events/2013-portland/proposals/Your Agile Performance Testing Checklist: MultiMechanize, Bees with Machine Guns, PageSpeed and AppDynamics/","Dustin Whittle","Your Agile Performance Testing Checklist: MultiMechanize, Bees with Machine Guns, PageSpeed and AppDynamics","Abstract:

DevOps, when done right, usually goes unnoticed. It&rsquo;s only when something breaks that all eyes turn to IT. If your boss only sees you when the app is down, however, that&rsquo;s not really doing your career any favors. In this session we&rsquo;ll talk about how to prove your value to the organization by looking at the positive side &ndash; that is, how much money you&rsquo;ve saved your company. We&rsquo;ll take a look at how you can use tools like Chef, Puppet, Sensu and Logstash to quantify your value to your company. After this session, you&rsquo;ll be able to walk into a meeting with your boss ready to talk about your value to the company (and to ask for a raise).

The performance of your application affects your business more than you might think. Top engineering organizations think of performance not as a nice-to-have, but as a crucial feature of their product. Those organizations understand that performance has a direct impact on user experience and, ultimately, their bottom line. Unfortunately, most engineering teams do not regularly test the performance and scalability of their infrastructure. Join this session to find out about the latest performance testing tools and why your team should add performance testing to your agile development process. We will dive in to how to evaluate performance and scalability with MultiMechanize, Bees with Machine Guns, and Google PageSpeed. In addition, we&rsquo;ll look at how to track the impact of every release with AppDynamics. You will leave this session with an understanding of how to automate performance testing and evaluate the impact it has on performance and your business.

Agenda:


Why performance matters?
What was the performance impact the last release?
What about the impact of that configuration change or package upgrade?
Case studies on business impact of performance at Google/AOL/Shopzilla
Tools of the trade
MultiMechanize
Bees with Machine Guns
Google PageSpeed
AppDynamics
Best practices
Server Side
Client Side
Integrating into your process
develop -&gt; test -&gt; deploy -&gt; rinse &amp; repeat



Speaker:

Dustin Whittle
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/What we can learn about DevOps from Science Fiction/","Dawn Foster","What we can learn about DevOps from Science Fiction","Abstract:
One of the important ideas behind DevOps is that people from
development and operations should work together, just like the Doctor
(a Time Lord) and his human companions work together to solve the
problems of the universe. We're moving away from a model where control
was centralized in the hands of a few, like the way the spice was
tightly controlled in Dune, and we're sharing more of the
responsibilities, like how the Stargate SG-1 team collaborates with
the Tok'ra, the Asgard and others. We also work to automate processes
and manage configurations, not unlike how Asimov created his 3 laws to
make sure that robots, like our servers, were well-behaved and
performing according to some standard rules. This is a fun session,
but it focuses on real lessons from DevOps as told through science
fiction.

Note: this would be similar to the talk that I recently gave at
LinuxCon, but with a focus on DevOps lessons, instead of community,
and it would be much shorter to fit the Ignite format:
http://www.slideshare.net/geekygirldawn/sci-fiandcommunity

Options: I could also do this as a community talk if you prefer to
have me
talk about community, instead of DevOps, since community is also very
relevant for DevOps projects.

Speaker:

Dawn Foster is the Community Manager at Puppet Labs. Dawn has more
than 18 years of experience in technology with expertise in community
building, open source software, and much more. She is passionate about
bringing people together through a combination of online communities
and real-world events. She has experience building new communities,
and managing existing communities with a particular emphasis on
developer and open source communities. Most recently, Dawn was leading
the Community Office within Intel&rsquo;s Open Source Technology Center. In
addition to working at Intel, Dawn was an online community consultant,
and she has worked at Jive Software, Compiere, and a Midwestern
manufacturing company in positions ranging from Unix system
administrator to market researcher to community manager to open source
strategist. Dawn holds an MBA from Ashland University and a bachelor&rsquo;s
degree in computer science from Kent State University.
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/What is DevOps/","Alex Gaynor","What is DevOps?","Abstract:

DevOps is a thing people talk about a lot today, but given any two people,
you'll probably get at least three explanations for what it means. This talk
endeavors to break down what DevOps actually means, and give a score card for
how we're doing.

DevOps is something you do, not something you are. Titles such as 'DevOps'
engineer fundamentally misunderstand what this phenomenon is about.

What is DevOps? DevOps is applying engineering methodologies to operations.
Turning what used to be sys-admin problems, into engineering problems.

What are engineering methodologies anyways? Testability, introspectability,
and automation. How are we doing?

We're doing nicely on automation. Thus far this has really been at the heart of
the tools we look at.

But we're doing lousy at introspection and testing. Very few DevOps tools take
advantage of these paradigms of software development. I'll propose some ways in
which we can improve this.

Some material will be borrowed from a previous talk I gave, whose topic was
unrelated, but which overlaps on some of the 'what are engineering
methodologies' material
(https://speakerdeck.com/alex/programming-and-programmers).

Speaker:

Alex Gaynor
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/What happened to the Dev in DevOps/","Mikhail Panchenko (mihasya)","What happened to the Dev in DevOps?","Abstract:

Great changes have been under way in our industry and or profession. With great
joy we have watched the advent of the DevOps movement and the formation and
growth of a community. Yet from my perch on the Dev side of the equation, I
can't help but feel inadequate. We've changed, sure, but we have not changed in
a way that is truly commensurate. We've gotten away from the original spirit of
'Dev+Ops cooperation.' Operators have been laboring to grease code's path to
production, reducing the overhead and friction experienced by developers.
Meanwhile, many developers get to pass the buck, as organizations falsely
assume that Devops is a whole new 'job' or 'team' or just a new name for what
they used to call 'Ops.'  What can developers do to return the favor and reduce
the friction in the lives of operators? What tools and (dare I say it?)
processes can teams introduce to better shield operators from alert fatigue,
cognitive overload, sleep deprivation, and boredom? We'll take a look at how
environment consistency, ease of instrumentation, a little bit of discipline,
and a few other dev-side nuances can lead to ever more harmony between
developers and operators.

Speaker:

Mikhail Panchenko (mihasya)
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/Visualization of Kanban Flow for DevOps/","Greg Borchers","Visualization of Kanban Flow for DevOps","Abstract:

Ignite talk to quickly describe a common visualization problem DevOps
and a possible solution.

Visualization of the flow present in a kanban board is difficult,
without actually reading the details. The ignite talk will present an
idea that allows an 'across the room grok' of what is going on. The
goal is that with the visualization at arms length, the viewer will be
able to understand the key information This ignite talk will describe
a visualization for a Kanban board that improves the ability to see
the level of active tasks that are working/waiting and undone/done.

This is important to DevOps members because kanban is becoming a
common way of managing flow.

The standard boards are useful up close, but a better visualization is needed.

Speaker:

Greg Borchers
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/Vagabond - Infrastructure testing and development tool/","Chris Roberts","Vagabond - Infrastructure testing and development tool","Abstract:

Infrastructure automation development can be time consuming,
especially when implementing solutions requiring integration and
testing between multiple nodes. Vagabond aims to accelerate this
process by decreasing the amount of time and interaction required to
build complex stacks in development.

Currently targeted at Opscode Chef[1], Vagabond is able to create an
entire isolated infrastructure stack which not only provides a
sandboxed development environment but also an integrated testing
environment. Building off the existing test-kitchen[2] testing suite,
Vagabond adds cluster style testing support for integration testing.
It also introduces serverspec[3] to provide more black box acceptance
style testing.

This talk will start with a brief history on the evolution of
Vagabond, covering the original problem set, the features that grew
from the initial solution, and the new features currently being
implemented. It will then move to a more in-depth look at setting up
and integrating Vagabond into an example development environment to
build multi-node stacks. Finally, some simple tests will be reviewed
and added to the example environment, concluding the presentation with
a ground up stack build and test run demonstration.

Speaker:

Chris Roberts
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/The Ghost Of DevOps Past: Creating a historical record of your infrastructure/","Brad Heller","The Ghost Of DevOps Past: Creating a historical record of your infrastructure","Abstract:
Are you keeping a log of your infrastructure as it changes? Developers
log the state of their application, but there is no equivalent for
DevOps.

As your cloud infrastructure becomes increasingly ephemeral, knowing
what the state of your infrastructure was three Tuesday's ago when you
had that one outage is nearly impossible. Add to that the fact that
ops teams have more people and the problem is compounded.

In this talk we'll discuss why it's important for you to keep track of
the state of your infrastructure and show examples of infrastructure
logs and how you can use them for capacity planning and postmortems.

Speaker:

Brad Heller
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder/","Dustin Whittle","The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder","Abstract:

DevOps, when done right, usually goes unnoticed. It&rsquo;s only when something breaks that all eyes turn to IT. If your boss only sees you when the app is down, however, that&rsquo;s not really doing your career any favors. In this session we&rsquo;ll talk about how to prove your value to the organization by looking at the positive side &ndash; that is, how much money you&rsquo;ve saved your company. We&rsquo;ll take a look at how you can use tools like Chef, Puppet, Sensu and Logstash to quantify your value to your company. After this session, you&rsquo;ll be able to walk into a meeting with your boss ready to talk about your value to the company (and to ask for a raise).


Why devops matters?
Tools of the trade


Chef + Puppet
Logstash + Loggly + SumoLogic + Splunk
Fabric + Capistrano + Jenkins
Sensu + Graphite
AppDynamics


Your real value


A case study in the cost of failure
Reactive to production failures


How to win
Automate everything
Maximum Visibility with Minimum Effort



Speaker:

Dustin Whittle
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/That's Mr. The Plague to you. Security and this devops thing/","Ben Hughes","That's Mr. The Plague to you! Security and this devops thing.","Abstract:

The landscape of security is very different to when we were
younger. What possible directions is it heading in, and have we been
looking at it wrong all this time?

Devops culture has brought a number of improvements to the way engineering
and operations interact with each other and it's time security comes along
for the party too! This talk will discuss what we, at Etsy, have done to
make people stop thinking of security as a four-letter word

Rationale:

It's a two part talk, at a dazzling pace, security talk and a devops talk.

I think this would be grand, as security is occasionally an after thought.
A lot of smaller shops don't have a dedicated security person or team, and
this talk features things you do even without that. Plus devops really
needs to stop being an organisational silo.... (=

Speaker:

Ben Hughes
",""
"","talk","http://devopsdays.org/events/2013-portland/proposals/Test Kitchen 1.0 - A Config Management-Neutral Integration Testing Tool/","Fletcher Nichol","Test Kitchen 1.0 - A Config Management-Neutral Integration Testing Tool","Abstract:

We've come a long way with infrastructure as code and are getting closer to better test frameworks and facilities. Test Kitchen was originally developed with Chef in mind, but it is now becoming a standard across different configuration management tools.

This talk will focus on how Test Kitchen can help you shorten the feedback cycle during the development of infrastructure code and discover how it plays nice with other existing tools like ChefSpec, RSpec Puppet, and Vagrant.

Learn about unit and smoke testing infrastructure as code in a Test Driven Development (TDD) cycle. Besides the technology we will look into the benefits of this faster feedback cycle and the current/future state of infrastructure as code testing.

Speaker:

Fletcher Nichol is a software developer from Edmonton, Canada who has worked in jobs ranging from systems administrator to web application developer. He spends far too much time writing open source software and far too little time playing the drums. He is active in many automation and testing projects such Vagrant and Chef and is the lead developer of Test Kitchen 1.0. Fletcher works for Heavy Water Operations, helping companies of all sizes automate and scale their business.
",""
